id,book_title,checkout_date,return_date,time_allowed_to_barrow,customer_id,borrow_time
1.0,Catcher In the Rye,2023-02-20,2023-02-25,2 weeks,1.0,5
6.0,Little Women,2023-04-02,2023-05-01,2 weeks,1.0,29
9.0,Catch 22,2023-04-15,2023-04-16,2 weeks,7.0,1
10.0,Animal Farm,2023-04-20,2023-04-24,2 weeks,2.0,4
11.0,1984,2023-04-23,2023-04-27,2 weeks,8.0,4
12.0,Little Women,2023-04-02,2023-05-01,2 weeks,1.0,29
13.0,East Of Eden,2023-04-30,2023-05-05,2 weeks,2.0,5
14.0,America Is In the Heart,2023-05-01,2023-05-07,2 weeks,3.0,6
15.0,Wuthering Heights,2023-05-01,2023-05-10,2 weeks,9.0,9
16.0,Dark Tales,2023-05-15,2023-06-01,2 weeks,2.0,17
17.0,The Bloody Chamber,,2023-06-04,2 weeks,3.0,
18.0,Les Miserables,2023-06-03,2023-06-07,2 weeks,5.0,4
19.0,Dracula,2023-06-10,2023-07-10,2 weeks,10.0,30
20.0,Frankenstein,2023-06-01,2023-06-20,2 weeks,2.0,19
21.0,Nan,2023-06-01,2023-06-05,2 weeks,nan,4
